INFO:root:episode:5400 e_greed:0.1565039999999565 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 2], [0, 7], [0, 4]]
INFO:root:episode:5450 e_greed:0.1561039999999561 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [3, 3], [1, 1], [0, 2], [0, 7], [3, 4]]
INFO:root:episode:5500 e_greed:0.1557039999999557 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [0, 2], [3, 3], [0, 7], [3, 4]]
INFO:root:episode:5550 e_greed:0.1553039999999553 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [3, 3], [1, 1], [0, 2], [0, 7], [2, 4]]
INFO:root:episode:5600 e_greed:0.1549039999999549 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [3, 3], [1, 1], [0, 2], [0, 7], [2, 4]]
INFO:root:episode:5650 e_greed:0.1545039999999545 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:5700 e_greed:0.1541039999999541 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:5750 e_greed:0.1537039999999537 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:5800 e_greed:0.1533039999999533 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:5850 e_greed:0.1529039999999529 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:5900 e_greed:0.1525039999999525 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:5950 e_greed:0.1521039999999521 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:6000 e_greed:0.1517039999999517 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 2], [0, 7], [2, 4]]
INFO:root:episode:6050 e_greed:0.1513039999999513 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:6100 e_greed:0.1509039999999509 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:6150 e_greed:0.1505039999999505 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:6200 e_greed:0.1501039999999501 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [3, 3], [2, 5], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:6250 e_greed:0.1497039999999497 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 7], [0, 2], [2, 4]]
